TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0002694	kappa	GO:0050866	0.44
GO:0002694	kappa	GO:0050867	0.79
GO:0002694	kappa	GO:0070372	0.12
GO:0002694	kappa	GO:0014066	0.028
GO:0002694	kappa	GO:2000145	0.078
GO:0002694	kappa	GO:0043062	-0.03
GO:0002694	kappa	GO:0007631	0.012
GO:0002694	kappa	GO:0050778	0.29
GO:0002694	kappa	GO:0004950	0.0048
GO:0002694	kappa	GO:0038023	0.11
GO:0002694	kappa	GO:0050663	0.12
GO:0002694	kappa	GO:0002253	0.23
GO:0002694	kappa	GO:0051270	0.072
GO:0002694	kappa	GO:0007416	-0.0082
GO:0002694	kappa	GO:0072376	-0.0024
GO:0002694	kappa	GO:0032101	0.13
GO:0002694	kappa	GO:0030334	0.083
GO:0002694	kappa	GO:1901681	-0.023
GO:0002694	kappa	GO:0050808	0.015
GO:0002694	kappa	GO:0045202	-0.02
GO:0002694	kappa	GO:0030155	0.1
GO:0002694	kappa	GO:0007186	-0.0092
GO:0002694	kappa	GO:0005201	-0.0056
GO:0002694	kappa	GO:0061138	0.031
GO:0002694	kappa	GO:0006955	0.25
GO:0002694	kappa	GO:0007528	0.0098
GO:0002694	kappa	GO:0002675	0.036
GO:0002694	kappa	GO:0043616	-0.004
GO:0002694	kappa	GO:0072503	0.025
GO:0002694	kappa	GO:0051674	0.1
GO:0002694	kappa	GO:0048747	0.016
GO:0002694	kappa	GO:0019838	0.0016
GO:0002694	kappa	GO:0040017	0.072
GO:0002694	kappa	GO:0071346	0.11
GO:0002694	kappa	GO:0045216	0.024
GO:0002694	kappa	GO:0051046	0.14
GO:0002694	kappa	GO:0005178	0.044
GO:0002694	kappa	GO:0005887	0.056
GO:0002694	kappa	GO:0005913	-0.0019
GO:0002694	kappa	GO:0051249	0.95
GO:0002694	kappa	GO:0004871	0.1
GO:0002694	kappa	GO:0060333	0.091
GO:0002694	kappa	GO:0070160	-0.012
GO:0002694	kappa	GO:0016337	0.066
GO:0002694	kappa	GO:0048729	0.034
GO:0002694	kappa	GO:0014068	0.034
GO:0002694	kappa	GO:0002250	0.32
GO:0002694	kappa	GO:0001637	0.0048
GO:0002694	kappa	GO:0002768	0.29
GO:0002694	kappa	GO:0030198	-0.03
GO:0002694	kappa	GO:0050851	0.28
GO:0002694	kappa	GO:0031032	-0.0024
GO:0002694	kappa	GO:0031226	0.053
GO:0002694	kappa	GO:0007600	0.00099
GO:0002694	kappa	GO:0055074	0.026
GO:0002694	kappa	GO:0001944	0.016
GO:0002694	kappa	GO:0090257	0.023
GO:0002694	kappa	GO:0002764	0.26
GO:0002694	kappa	GO:0001653	-0.0013
GO:0002694	kappa	GO:0005576	0.03
GO:0002694	kappa	GO:0002455	0.016
GO:0002694	kappa	GO:0051050	0.1
GO:0002694	kappa	GO:0018108	0.19
GO:0002694	kappa	GO:0001655	0.025
GO:0002694	kappa	GO:0050865	0.98
GO:0002694	kappa	GO:0032940	0.11
GO:0002694	kappa	GO:0060090	0.043
GO:0002694	kappa	GO:0040011	0.084
GO:0002694	kappa	GO:0072507	0.03
GO:0002694	kappa	GO:0016323	-0.011
GO:0002694	kappa	GO:0005615	0.08
GO:0002694	kappa	GO:0016477	0.11
GO:0002694	kappa	GO:0034329	-0.001
GO:0002694	kappa	GO:0071944	0.032
GO:0002694	kappa	GO:0070371	0.11
GO:0002694	kappa	GO:0051480	0.024
GO:0002694	kappa	GO:0004713	0.08
GO:0002694	kappa	GO:0072001	0.011
GO:0002694	kappa	GO:0006959	0.086
GO:0002694	kappa	GO:0004364	-0.0061
GO:0002694	kappa	GO:0005912	0.0012
GO:0002694	kappa	GO:0008015	0.027
GO:0002694	kappa	GO:0002757	0.24
GO:0002694	kappa	GO:0051146	0.006
GO:0002694	kappa	GO:0035272	0.012
GO:0002694	kappa	GO:0050803	0.011
GO:0002694	kappa	GO:0003008	0.011
