APOA1BP	5.186	5.681	-0.474	897103.0079
APOBEC3B	4.900	4.718	0.604	NA
APOBEC3C	7.268	5.963	1.234	NA
APOBEC3D	5.077	4.449	0.576	NA
APOBEC3F	4.207	3.328	0.785	NA
APOBEC3G	6.759	7.286	-0.576	NA
APOBEC3H	3.130	2.211	0.558	NA
APOBR	4.502	3.879	0.927	NA
APOL2	6.386	5.611	0.728	NA
APOL3	5.568	5.350	-0.040	NA
APOL6	6.131	4.698	1.371	NA
APOM	1.915	0.862	1.049	NA
APOO	4.702	3.777	0.760	268041.1038
APOOL	4.780	3.102	1.716	NA
APOPT1	2.172	3.561	-1.567	NA
APP	7.773	6.808	0.965	NA
APPBP2	5.699	5.087	0.464	NA
APPL1	6.591	6.417	0.049	342453.8473
APPL2	2.346	3.263	-1.166	NA
APRT	6.548	6.739	-0.140	1545831.72
APTX	5.534	5.185	0.300	NA
AQP3	2.238	0.778	0.935	NA
AQR	7.145	7.103	0.042	273114.7194
ARAF	4.773	5.883	-1.258	297189.2706
ARAP1	6.619	7.419	-0.762	286795.1587
ARAP2	5.253	6.066	-0.939	NA
ARCN1	8.348	7.341	1.014	3354677.805
ARF1	8.448	7.754	0.823	NA
ARF3	7.823	6.335	1.499	NA
ARF4	7.559	6.084	1.449	1458730.406
ARF5	6.652	6.354	0.261	1029154.259
ARF6	6.500	6.535	-0.132	NA
ARFGAP1	5.514	4.919	0.619	186927.8766
ARFGAP2	6.561	6.465	0.182	562844.7731
ARFGAP3	6.111	6.102	0.004	337819.3653
ARFGEF1	6.401	6.601	-0.240	113927.1584
ARFGEF2	6.108	6.839	-0.832	76379.28029
ARFIP1	4.843	3.326	1.509	1307378.495
ARFIP2	4.503	5.406	-0.840	74171.45779
ARFRP1	5.474	4.643	0.808	NA
ARG2	1.312	1.016	0.142	NA
ARGLU1	6.190	6.931	-0.676	609648.4948
ARHGAP1	6.653	4.718	1.894	2484117.918
ARHGAP10	5.651	5.721	-0.147	NA
ARHGAP11A	5.539	6.613	-1.190	NA
ARHGAP12	4.014	4.409	-0.401	NA
ARHGAP15	6.438	6.665	-0.145	715958.9251
ARHGAP17	7.451	7.185	0.183	869921.4117
ARHGAP18	5.173	5.991	-0.983	385887.8769
ARHGAP19	5.906	5.075	0.792	NA
ARHGAP21	4.436	6.229	-1.788	NA
ARHGAP24	2.699	1.874	0.803	NA
ARHGAP25	3.981	3.704	0.745	NA
ARHGAP26	4.255	3.497	0.752	NA
ARHGAP27	4.469	4.769	-0.226	NA
ARHGAP30	7.388	8.679	-1.165	201717.1039
ARHGAP31	5.580	6.379	-0.753	NA
ARHGAP35	5.335	6.393	-1.144	NA
ARHGAP4	5.181	6.958	-1.879	207927.9023
ARHGAP42	2.411	1.615	1.084	NA
ARHGAP5	4.473	5.360	-1.003	NA
ARHGAP6	2.671	3.475	-1.235	NA
ARHGAP9	5.548	6.597	-1.154	NA
ARHGDIA	8.609	7.320	1.302	11391767.87
ARHGDIB	10.130	9.272	0.891	10587364.62
ARHGEF1	6.608	7.556	-0.826	NA
ARHGEF11	2.965	4.131	-1.168	NA
ARHGEF12	5.175	6.428	-1.152	NA
ARHGEF17	2.711	4.054	-1.255	NA
ARHGEF18	5.707	6.094	-0.392	NA
ARHGEF2	6.982	7.214	-0.126	721698.7438
ARHGEF28	1.923	2.183	-0.470	NA
ARHGEF3	5.084	3.974	1.142	NA
ARHGEF39	3.545	3.844	-0.369	NA
ARHGEF5	3.494	4.496	-0.965	NA
ARHGEF6	6.562	5.555	0.839	40003.23967
ARHGEF7	6.936	6.563	0.303	656793.2755
ARHGEF9	2.789	4.045	-1.386	NA
ARID1A	7.226	7.464	-0.156	398628.7982
ARID1B	6.393	7.350	-0.868	27391.11285
ARID2	5.620	5.685	-0.162	20837.4121
ARID3A	5.306	6.303	-0.866	NA
ARID3B	5.023	5.524	-0.515	NA
ARID4A	5.475	5.377	0.012	NA
ARID4B	6.263	6.618	-0.475	NA
ARID5B	5.319	5.219	0.461	NA
ARIH1	6.179	5.823	0.382	130494.3186
ARIH2	5.328	6.104	-0.754	65616.30035
ARL1	6.589	5.402	1.019	1404313.008
ARL10	1.035	0.682	0.089	NA
ARL11	3.018	2.499	0.574	NA
ARL13B	4.455	3.241	1.162	NA
ARL14EP	5.760	4.790	0.962	NA
ARL15	1.968	0.578	1.785	NA
ARL16	3.277	3.759	-0.256	NA
ARL2	5.788	5.911	-0.234	918645.0929
ARL2BP	4.154	3.746	0.282	NA
ARL3	5.519	4.817	0.649	1024640.467
ARL5A	4.193	5.525	-1.479	NA
ARL5B	4.238	2.872	1.207	NA
ARL6	2.968	1.189	1.816	NA
ARL6IP1	4.173	5.228	-1.170	NA
ARL6IP4	6.126	7.444	-1.315	NA
ARL6IP5	6.881	6.225	0.599	512218.1691
ARL6IP6	5.486	4.353	1.230	NA
ARL8A	4.885	4.078	0.778	192564.5799
ARL8B	5.731	4.810	0.937	1992439.352
ARMC1	5.639	4.881	0.773	109218.8504
ARMC10	3.407	5.200	-1.865	NA
ARMC5	3.643	4.065	-0.217	NA
ARMC6	5.856	5.542	0.332	NA
ARMC7	2.465	1.971	0.635	NA
ARMC8	5.648	5.559	0.074	147633.9169
ARMC9	4.795	3.860	0.977	235323.7568
ARMCX2	3.905	4.361	-0.625	NA
ARMCX3	5.792	5.250	0.458	NA
ARMCX5	3.823	3.693	0.217	NA
ARMCX6	4.123	3.718	0.426	NA
ARNT	5.899	5.787	0.059	NA
ARNTL	2.440	3.703	-1.444	NA
ARNTL2	3.847	6.471	-3.197	NA
ARPC1A	4.915	6.128	-1.248	105501.4399
ARPC1B	8.487	9.272	-0.808	2723309.337
ARPC2	8.336	9.452	-1.491	13362557.61
ARPC3	9.314	8.757	0.704	18676257.59
ARPC4	6.671	7.090	-0.469	2923985.518
ARPC5	9.309	7.751	1.640	8440665.717
ARPC5L	6.631	6.113	0.269	NA
ARPP19	5.388	5.107	0.195	NA
ARRB1	2.265	1.861	0.660	NA
ARRB2	4.771	4.979	-0.261	NA
ARRDC1	2.909	4.299	-1.202	NA
ARRDC2	0.944	2.292	-1.347	NA
ARRDC3	3.457	3.351	0.230	NA
ARSA	4.175	3.959	0.289	NA
ARSB	4.003	3.287	0.853	NA
ARSD	1.126	1.228	-0.146	NA
ARSK	3.154	1.998	1.075	NA
ARV1	4.825	3.993	0.778	NA
ASAH1	6.405	6.251	0.198	262789.2514
ASAP1	5.032	4.297	0.858	NA
ASB1	3.271	4.021	-0.695	NA
ASB2	5.221	4.837	0.366	NA
ASB3	5.419	4.714	0.598	NA
ASB6	3.571	3.731	-0.245	NA
ASB7	3.651	3.253	0.139	NA
ASB8	4.716	4.412	0.318	NA
ASCC1	6.316	5.203	1.095	385866.9921
ASCC2	5.916	6.417	-0.465	182647.3027
ASCC3	8.307	7.861	0.227	289107.4432
ASF1A	5.779	4.805	1.105	NA
ASF1B	6.895	5.567	1.266	NA
ASH1L	4.990	6.734	-1.579	NA
ASH2L	5.928	5.541	0.447	137799.3218
ASL	4.825	4.831	-0.159	885834.1219
ASMTL	6.256	5.842	0.499	NA
ASNA1	5.849	6.434	-0.549	1104822.333
ASNS	7.606	6.811	0.979	1460941.719
ASNSD1	4.587	6.121	-1.383	NA
ASPH	4.073	3.317	0.717	NA
ASPHD2	2.862	3.412	-0.548	NA
ASPM	7.109	7.929	-0.603	15889.1164
ASPSCR1	4.096	4.487	-0.259	155599.5272
ASRGL1	3.011	1.634	0.899	NA
ASTE1	3.169	3.623	-0.462	NA
ASTN2	1.875	2.526	-0.605	NA
ASUN	7.346	6.909	0.531	233043.2826
ASXL2	5.050	4.881	0.450	NA
ATAD1	6.578	5.842	0.678	572111.8534
ATAD2	7.911	7.727	0.115	NA
ATAD2B	5.402	5.714	-0.249	NA
ATAD3A	4.736	5.752	-1.016	NA
ATAD3B	3.203	5.177	-2.222	NA
ATAD5	5.760	5.988	-0.233	NA
ATAT1	2.844	2.015	1.063	NA
ATE1	4.667	4.413	0.118	46042.14472
ATF1	4.568	4.367	0.273	NA
ATF2	4.599	5.696	-1.237	NA
ATF3	4.649	3.409	1.283	NA
ATF4	5.634	9.023	-3.394	NA
ATF5	3.743	5.488	-1.762	NA
ATF6	6.778	6.588	0.273	NA
ATF6B	6.487	6.481	0.106	NA
ATF7	4.603	3.085	1.429	NA
ATF7IP	7.163	6.860	0.376	NA
ATF7IP2	3.572	3.719	-0.338	NA
ATG10	1.976	1.688	0.192	NA
ATG12	5.157	4.650	0.559	NA
ATG13	4.587	5.417	-0.821	NA
ATG14	2.158	2.966	-0.775	NA
ATG16L1	4.517	4.350	0.018	NA
ATG16L2	2.736	4.541	-1.741	NA
ATG2A	4.420	4.759	-0.262	NA
ATG2B	5.467	5.413	0.121	NA
ATG3	6.027	6.319	-0.225	324321.1459
ATG4A	4.478	3.903	0.602	NA
